[2023-08-11 20:04:56,863] [DEBUG] | __init__.create_app | Loading blueprints
[2023-08-11 20:04:56,898] [INFO] | _internal._log |  * Running on http://127.0.0.1:7070 (Press CTRL+C to quit)
[2023-08-11 20:04:56,900] [INFO] | _internal._log |  * Restarting with stat
[2023-08-11 20:04:57,821] [DEBUG] | __init__.create_app | Loading blueprints
[2023-08-11 20:04:57,848] [WARNING] | _internal._log |  * Debugger is active!
[2023-08-11 20:04:57,849] [INFO] | _internal._log |  * Debugger PIN: 999-202-065
[2023-08-11 20:06:39,067] [DEBUG] | __init__.create_app | Loading blueprints
[2023-08-11 20:06:39,098] [INFO] | _internal._log |  * Running on http://127.0.0.1:7070 (Press CTRL+C to quit)
[2023-08-11 20:06:39,099] [INFO] | _internal._log |  * Restarting with stat
[2023-08-11 20:06:40,031] [DEBUG] | __init__.create_app | Loading blueprints
[2023-08-11 20:06:40,059] [WARNING] | _internal._log |  * Debugger is active!
[2023-08-11 20:06:40,059] [INFO] | _internal._log |  * Debugger PIN: 999-202-065
